N,date,wind_speed
1,2013-01-01,3
2,2013-02-01,2.220000028610229
3,2013-03-01,24.0666675567627
4,2013-04-01,4.400000095367432
5,2013-05-01,12.68571472167969
6,2013-06-01,13.4375
7,2013-07-01,8.728571891784668
8,2013-08-01,5.550000190734863
9,2013-09-01,11.47999954223633
10,2013-10-01,6.371428489685059
11,2013-11-01,1.057142853736877
12,2013-12-01,1.585714340209961
13,2014-01-01,7.650000095367432
14,2014-02-01,2.549999952316284
15,2014-03-01,4.242856979370117
16,2014-04-01,9.712499618530273
17,2014-05-01,9.737500190734863
18,2014-06-01,16.20000076293945
19,2014-07-01,6.25
20,2014-08-01,6.5
21,2014-09-01,15.51249980926514
22,2014-10-01,3.171428680419922
23,2014-11-01,5.324999809265137
24,2014-12-01,8.800000190734863
25,2015-01-01,.925000011920929
26,2015-02-01,5.099999904632568
27,2015-03-01,14.8125
28,2015-04-01,6.712500095367432
29,2015-05-01,5.337500095367432
30,2015-06-01,12.51249980926514
31,2015-07-01,4.175000190734863
32,2015-08-01,.925000011920929
33,2015-09-01,15.27499961853027
34,2015-10-01,5.574999809265137
35,2015-11-01,.925000011920929
36,2015-12-01,1.625
37,2016-01-01,1.057142853736877
38,2016-02-01,7.269230842590332
39,2016-03-01,1.700000047683716
40,2016-04-01,12.0357141494751
41,2016-05-01,8.574999809265137
42,2016-06-01,9.133333206176758
43,2016-07-01,8.350000381469727
44,2016-08-01,5.912499904632568
45,2016-09-01,4.14799976348877
46,2016-10-01,3.170833349227905
47,2016-11-01,2.715384721755981
48,2016-12-01,2.704166650772095
49,2017-01-01,2.743478298187256
50,2017-02-01,5.099999904632568
51,2017-03-01,6.415384769439697
52,2017-04-01,9.037500381469727
